c1,c2,c3,c4,c5
"A. OP Characteristics","","","",""
"Fraction of OPs","1",".6200980392156863",".3799019607843137",""
"OP is Qualified",".5300613496932516",".5533596837944664",".4919093851132688",".0883316721301707"
"N","816","506","310",""
"B. OP Characteristics: Either Gender Treatments","","","",""
"Fraction of OPs","1",".5977443609022556",".4022556390977444",""
"OP is Qualified",".5676691729323309",".6037735849056605",".5140186915887851",".1484634163783635"
"N","266","159","107",""
"C. Referral Characteristics: Either Gender Treatments","","","",""
"Referral is Female",".3045454545454546",".225563909774436",".4252873563218392",".0015480081043943"
"Referral is Qualified",".4863636363636364",".5263157894736843",".425287356321839",".1439755465738155"
"Referral is Qualified Male",".35",".4210526315789475",".2413793103448274",".0061470826944431"
"Referral is Qualified Female",".1363636363636364",".1052631578947366",".1839080459770118",".0973674727701013"
"N","220","133","87",""
"D. Referral Characteristics, Fixed Fee Treatments","","","",""
"Referral is Female",".3157894736842105",".2337662337662336",".4285714285714288",".016863479755451"
"Referral is Qualified",".4962406015037594",".5584415584415585",".4107142857142854",".0938468757030322"
"Referral is Qualified Male",".3458646616541353",".4285714285714288",".2321428571428567",".0185718663844374"
"Referral is Qualified Female",".1503759398496241",".1298701298701298",".1785714285714286",".4416843356947247"
"N","133","77","56",""
"E. Referral Characteristics, Perf Treatments","","","",""
"Referral is Female",".2873563218390804",".2142857142857144",".4193548387096773",".0434739954976479"
"Referral is Qualified",".4712643678160919",".4821428571428571",".4516129032258064",".7876896505327605"
"Referral is Qualified Male",".3563218390804598",".4107142857142856",".2580645161290324",".1580925997738273"
"Referral is Qualified Female",".1149425287356322",".0714285714285716",".193548387096774",".0891270531938278"
"N","87","56","31",""
