"        ","OP_makesref1","   ","OP_makesref3","   ","REF_altqual1","   ","REF_altqual3","   "
"        ","    b/se","   ","    b/se","   ","    b/se","   ","    b/se","   "
"treat_female","-0.004167","   ","-0.003824","   ","-0.067339","   ","0.033491","   "
"        ","0.037931","   ","0.050214","   ","0.059688","   ","0.077717","   "
"treat_either","0.014485","   ","-0.051984","   ","0.019146","   ","0.136268","*  "
"        ","0.039726","   ","0.051764","   ","0.061955","   ","0.080344","   "
"treat_perf","        ","   ","-0.147892","***","        ","   ","0.201762","** "
"        ","        ","   ","0.055576","   ","        ","   ","0.090157","   "
"perftreat_female","        ","   ","0.004392","   ","        ","   ","-0.248258","** "
"        ","        ","   ","0.075527","   ","        ","   ","0.122125","   "
"perftreat_either","        ","   ","0.152232","*  ","        ","   ","-0.287342","** "
"        ","        ","   ","0.079102","   ","        ","   ","0.125380","   "
"N       ","     506","   ","     506","   ","     429","   ","     429","   "
"mean    ","     .84","   ","    .892","   ","    .485","   ","    .398","   "
