depends,deplabel,malemeansd,pvalue_male,nobs_male,femalemeansd,pvalue_female,nobs_female
"OP_age","OP_ age",25.52452,.6104761,469,24.47241,.7746792,290
"","",3.899641,,,4.554278,,
"OP_alt_nofeedback_qual","",.5533597,.2800409,506,.4919094,.4974604,309
"","",.4976366,,,.5007455,,
"OP_alt_nofeedback_score","",61.87748,.554576,506,59.64529,.1748471,309
"","",14.32008,,,14.39086,,
"OP_survey_experience","OP_ survey_experience",.3029703,.5237402,505,.2694805,.1198827,308
"","",.4599982,,,.444412,,
"OP_tertiary","OP_ tertiary",.6798419,.2744904,506,.7637541,.1649279,309
"","",.4669988,,,.425464,,
"OP_mscemath","OP_ mscemath",5.663657,.8138493,443,6.812261,.0544979,261
"","",2.300347,,,1.810016,,
"OP_msceenglish","OP_ msceenglish",5.675381,.7874839,459,5.756364,.3939193,275
"","",1.495723,,,1.386426,,
"OP_JobCompscore","OP_ JobCompscore",.7944664,.8404266,506,.8,.379641,310
"","",.4044909,,,.4006467,,
"OP_mathscore","OP_ mathscore",.2108696,.2630099,506,.1809677,.3274821,310
"","",.0955466,,,.0902659,,
"OP_ravensscore","OP_ ravensscore",.6139657,.2125781,506,.5494624,.6664269,310
"","",.3939453,,,.3953497,,
"OP_languagescore","OP_ languagescore",.1450739,.2501196,506,.1396057,.7845781,310
"","",.0262675,,,.0267559,,
"OPpracticalz","",-.1111116,.0704855,502,.1868357,.0567315,306
"","",1.023591,,,.8920724,,
"OP_computerscore","OP_ computerscore",.4356061,.8433515,506,.4180107,.443743,310
"","",.2084196,,,.1954006,,
"OP_feedbackpoints","OP_ feedbackpoints",25.842,.0179229,500,27.96732,.1511914,306
"","",7.269851,,,6.206732,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
"","",,,,,,
